Customer_ID,Gender,Married,Age,Income,Loan_Amount,Loan_Term,Credit_Score,Defaulted
2760,Female,Yes,37.0,40228.0,104841.0,120,718.0,No
4035,Male,Yes,27.0,60687.0,118652.0,84,664.0,Yes
2921,Male,Yes,55.0,28701.0,161272.0,120,718.0,No
2188,Male,No,19.0,28351.0,194405.0,36,659.0,No
1109,Male,Yes,,,,84,,Yes
3570,Female,Yes,20.0,58986.0,138660.0,12,688.0,Yes
5041,Female,No,43.0,57628.0,124199.0,120,729.0,No
1511,Female,Yes,46.0,47945.0,190053.0,12,618.0,No
1949,Male,Yes,,,,60,,Yes
4771,Female,No,13.0,39058.0,141639.0,120,763.0,No
4241,Female,No,20.0,49947.0,158252.0,84,762.0,Yes
3864,Female,No,50.0,47422.0,170408.0,84,665.0,No
2397,Male,No,40.0,37695.0,159828.0,60,720.0,Yes
4250,Male,No,34.0,73346.0,152955.0,120,690.0,No
1497,Female,Yes,,,,12,,Yes
2003,Male,Yes,46.0,69326.0,106578.0,60,712.0,No
3405,Male,No,15.0,51431.0,123895.0,12,721.0,No
1879,Male,No,10.0,44811.0,239085.0,84,675.0,No
1149,Female,Yes,,,,84,,No
4940,Male,No,42.0,86618.0,146688.0,120,692.0,No
3672,Female,No,27.0,30843.0,124549.0,60,714.0,No
3510,Female,Yes,29.0,61481.0,115821.0,60,636.0,No
4079,Male,Yes,28.0,62530.0,104482.0,60,711.0,No
1744,Male,Yes,44.0,45152.0,96205.0,12,689.0,No
2161,Male,Yes,40.0,63531.0,110466.0,36,638.0,No
1371,Female,No,,,,84,,No
1070,Female,No,,,,84,,No
4789,Male,Yes,32.0,17366.0,189032.0,12,762.0,No
5055,Male,No,29.0,39859.0,143887.0,12,671.0,Yes
2874,Female,Yes,25.0,65407.0,128869.0,120,721.0,No
1865,Male,No,,,,36,,Yes
4382,Male,Yes,44.0,27341.0,147115.0,84,789.0,Yes
3500,Female,Yes,10.0,62344.0,171468.0,36,655.0,No
2620,Male,Yes,30.0,27152.0,180099.0,84,705.0,No
3784,Female,No,37.0,66297.0,167502.0,12,710.0,Yes
4273,Male,Yes,32.0,48787.0,181091.0,36,668.0,No
1457,Female,No,,,,36,,No
3301,Male,Yes,9.0,53082.0,148087.0,84,695.0,Yes
4596,Female,No,13.0,37225.0,149320.0,12,774.0,No
1017,Female,Yes,,,,84,,No
2945,Female,Yes,,,,12,,No
2113,Male,No,,,,120,,No
1151,Male,Yes,21.0,59628.0,116128.0,120,665.0,No
1314,Male,Yes,,,,36,,No
3677,Female,Yes,38.0,46012.0,186042.0,12,684.0,No
3124,Female,No,38.0,40833.0,145538.0,60,693.0,No
1315,Female,No,28.0,32754.0,178477.0,84,753.0,No
1490,Female,Yes,,,,36,,No
3321,Female,No,42.0,65819.0,122664.0,84,728.0,No
2204,Male,Yes,38.0,57849.0,125037.0,12,744.0,Yes
4392,Female,No,30.0,37477.0,143610.0,12,793.0,No
4706,Male,Yes,55.0,36153.0,171674.0,84,663.0,No
3028,Female,Yes,17.0,61747.0,128044.0,120,611.0,No
1764,Male,No,,,,120,,No
2586,Male,No,31.0,44883.0,154712.0,120,709.0,Yes
2108,Female,Yes,47.0,45744.0,155810.0,60,800.0,No
1298,Male,Yes,,,,36,,No
1309,Female,No,35.0,54257.0,184725.0,84,758.0,No
2894,Male,Yes,24.0,44158.0,136301.0,120,702.0,No
3256,Male,No,34.0,-8836.0,142368.0,120,786.0,No
1544,Male,No,27.0,52745.0,111832.0,120,672.0,No
2991,Male,No,45.0,64860.0,184566.0,84,721.0,No
1969,Male,No,44.0,30127.0,102683.0,12,715.0,Yes
2313,Male,Yes,27.0,55037.0,148906.0,36,601.0,Yes
3698,Female,Yes,36.0,60041.0,124245.0,120,794.0,No
4227,Female,No,8.0,52151.0,153382.0,120,622.0,Yes
2954,Male,No,,,,120,,No
1308,Female,No,15.0,42587.0,166397.0,60,675.0,No
1296,Female,Yes,,,,120,,No
2831,Male,Yes,36.0,47573.0,183722.0,36,749.0,No
2842,Female,No,36.0,59905.0,96868.0,60,671.0,No
1871,Female,Yes,38.0,28126.0,151798.0,12,675.0,Yes
4901,Male,Yes,40.0,40366.0,169451.0,84,609.0,Yes
1238,Male,No,38.0,62150.0,137930.0,36,763.0,No
3589,Male,Yes,45.0,39896.0,106597.0,120,738.0,No
3650,Female,Yes,48.0,12848.0,111902.0,84,729.0,No
4423,Male,No,38.0,44025.0,173238.0,84,687.0,No
1621,Female,Yes,38.0,48163.0,110571.0,12,733.0,No
2075,Male,Yes,40.0,46859.0,179260.0,36,662.0,No
4916,Female,Yes,24.0,45969.0,184261.0,36,720.0,Yes
2123,Male,No,32.0,32965.0,132020.0,60,629.0,No
3689,Female,No,29.0,50827.0,172305.0,12,706.0,No
1297,Male,No,36.0,47329.0,173626.0,120,690.0,No
3758,Female,No,36.0,79531.0,105756.0,12,746.0,No
3771,Male,No,,,,120,,No
2626,Male,No,40.0,49975.0,88416.0,12,731.0,No
4906,Male,Yes,46.0,52763.0,174048.0,60,704.0,No
4333,Female,Yes,25.0,69425.0,156056.0,84,667.0,No
1270,Female,No,,,,12,,No
4799,Male,Yes,25.0,30369.0,109079.0,120,778.0,Yes
3446,Male,No,35.0,33940.0,181744.0,120,769.0,Yes
1157,Female,No,,,,36,,No
1471,Female,Yes,29.0,37388.0,207666.0,12,696.0,Yes
3423,Male,Yes,49.0,62874.0,124041.0,60,709.0,No
3167,Male,Yes,39.0,29232.0,123581.0,84,698.0,No
2945,Female,Yes,,,,12,,No
1179,Male,Yes,,,,60,,Yes
3897,Male,Yes,36.0,52668.0,153762.0,120,731.0,Yes
4163,Male,Yes,25.0,52667.0,152744.0,120,657.0,No
2398,Female,No,39.0,46654.0,176162.0,120,723.0,Yes
5062,Female,Yes,39.0,41939.0,201369.0,60,646.0,No
2844,Female,Yes,33.0,44074.0,169261.0,36,738.0,No
1144,Female,Yes,,,,84,,No
4851,Male,No,33.0,59737.0,158580.0,84,696.0,No
4877,Male,Yes,35.0,56181.0,143323.0,60,695.0,No
2047,Male,No,,,,60,,Yes
2299,Female,No,29.0,60284.0,207790.0,12,698.0,No
1811,Male,No,,,,120,,No
4101,Male,No,28.0,54416.0,178822.0,84,751.0,No
4947,Male,Yes,35.0,56562.0,130241.0,84,755.0,No
4962,Male,No,24.0,67566.0,139354.0,12,697.0,No
4593,Male,Yes,31.0,41851.0,173843.0,120,676.0,No
2406,Female,Yes,45.0,75249.0,159442.0,120,719.0,No
4937,Male,Yes,27.0,37167.0,155654.0,84,772.0,No
1468,Male,No,24.0,48907.0,146863.0,60,621.0,No
1120,Female,Yes,57.0,77780.0,106682.0,120,706.0,Yes
3212,Female,Yes,,,,120,,No
4131,Male,Yes,26.0,53394.0,121257.0,12,679.0,No
1096,Female,No,,,,120,,No
1318,Male,No,32.0,59629.0,146270.0,84,691.0,No
3170,Male,Yes,11.0,38302.0,191473.0,60,812.0,Yes
3596,Male,Yes,40.0,39553.0,150815.0,12,729.0,Yes
3080,Male,No,20.0,51546.0,125963.0,60,754.0,No
1166,Female,Yes,,,,60,,No
5122,Female,No,27.0,49258.0,152125.0,60,678.0,No
2642,Male,Yes,33.0,54692.0,134341.0,120,717.0,No
1978,Female,No,20.0,48302.0,139406.0,36,624.0,No
4422,Male,Yes,43.0,60302.0,133877.0,12,713.0,No
4070,Male,No,39.0,37368.0,166357.0,36,689.0,Yes
4158,Female,No,36.0,36908.0,152680.0,60,703.0,No
2258,Female,No,43.0,38179.0,143149.0,60,665.0,No
3378,Male,No,,,,60,,No
3486,Female,No,37.0,39822.0,108019.0,120,678.0,No
3751,Male,No,32.0,56011.0,121595.0,12,769.0,Yes
1602,Female,Yes,,,,120,,No
1506,Female,No,31.0,14223.0,166746.0,60,691.0,No
2417,Male,No,34.0,52651.0,186484.0,60,644.0,No
2697,Male,Yes,42.0,36135.0,162546.0,120,685.0,Yes
3325,Male,Yes,37.0,31664.0,166075.0,84,733.0,No
2038,Male,No,32.0,57904.0,114553.0,60,690.0,No
2110,Male,No,25.0,65329.0,133631.0,120,707.0,No
4279,Female,Yes,28.0,56621.0,157217.0,36,655.0,No
4305,Male,No,32.0,75580.0,143685.0,60,732.0,Yes
2261,Male,No,32.0,29340.0,173720.0,60,635.0,No
1290,Male,Yes,42.0,47591.0,150477.0,12,780.0,No
3172,Male,Yes,36.0,21755.0,175638.0,60,656.0,Yes
3574,Male,Yes,12.0,61550.0,144177.0,36,606.0,No
1960,Male,No,14.0,57172.0,102442.0,120,674.0,No
4615,Male,No,24.0,64642.0,173504.0,60,722.0,Yes
4669,Female,No,28.0,44144.0,116361.0,60,693.0,Yes
3978,Male,Yes,40.0,33681.0,117877.0,84,659.0,No
2174,Male,No,43.0,80558.0,153623.0,12,709.0,No
4210,Male,Yes,46.0,59584.0,148927.0,60,611.0,No
1794,Male,Yes,,,,84,,No
4973,Male,Yes,,,,84,,No
4928,Male,No,26.0,41840.0,133630.0,60,682.0,Yes
2923,Male,No,47.0,48372.0,105485.0,84,749.0,No
5021,Male,Yes,38.0,70926.0,196356.0,36,580.0,No
1274,Male,Yes,,,,84,,No
4015,Female,No,36.0,50462.0,162461.0,84,801.0,No
1150,Male,No,,,,60,,Yes
1776,Male,Yes,24.0,48674.0,171017.0,12,772.0,No
1175,Female,Yes,,,,84,,No
5103,Female,Yes,25.0,63545.0,100197.0,60,723.0,No
2061,Male,Yes,,,,36,,No
4161,Male,Yes,41.0,42345.0,139204.0,12,795.0,No
4368,Male,Yes,42.0,42774.0,151074.0,60,671.0,No
2025,Female,No,31.0,59691.0,178211.0,60,723.0,No
3555,Female,No,31.0,44711.0,124914.0,36,782.0,No
4517,Male,No,27.0,58603.0,140850.0,120,757.0,Yes
4289,Female,Yes,39.0,50658.0,178405.0,60,576.0,No
1551,Female,Yes,27.0,51354.0,154386.0,120,728.0,Yes
2717,Male,No,47.0,59802.0,181219.0,12,696.0,No
5166,Female,Yes,32.0,35140.0,128388.0,120,622.0,Yes
4008,Female,No,31.0,21619.0,163371.0,120,700.0,No
3111,Male,Yes,41.0,39801.0,189198.0,120,692.0,No
1152,Male,Yes,30.0,34554.0,148001.0,36,704.0,Yes
4860,Female,No,48.0,33355.0,159030.0,120,710.0,No
2192,Male,No,41.0,53071.0,148070.0,36,823.0,No
4660,Female,Yes,48.0,59917.0,99110.0,84,712.0,No
3135,Male,Yes,20.0,53224.0,184111.0,12,640.0,No
5018,Male,No,58.0,40546.0,168758.0,120,709.0,No
1650,Male,Yes,28.0,23478.0,172498.0,12,739.0,No
1008,Male,No,,,,60,,No
1561,Male,Yes,46.0,52310.0,180812.0,12,654.0,No
5032,Male,No,26.0,53352.0,194473.0,84,698.0,No
2448,Female,No,41.0,53851.0,155561.0,12,806.0,No
